類型,年份,樓層,總坪數,房間數,價位（萬）
電梯大樓,8.4,13,53.87,10,13988
電梯大樓,35.5,21,64.95,6,9980
電梯大樓,42,12,38.62,5,4563
電梯大樓,32.2,19,28,5,3960
電梯大樓,35.5,21,66.37,8,7980
電梯大樓,35.5,21,64.95,10,9100
電梯大樓,32.2,19,24.59,5.5,3258
電梯大樓,13.2,12,13,3,2480
電梯大樓,10.3,14,9.14,3,2280
電梯大樓,39.5,7,52.01,9,5850
電梯大樓,37.1,7,34.34,8,4988
電梯大樓,3.9,9,39.87,7,5680
電梯大樓,31.5,7,41.22,8,2988
電梯大樓,14.1,8,15.55,4,1555
電梯大樓,8.7,6,100.84,1,8980
電梯大樓,21.5,13,9.97,3,1250
電梯大樓,35.2,12,33.77,7,1790
電梯大樓,39.5,7,48.94,7,4650
電梯大樓,14.8,8,35.91,7,3150
電梯大樓,8.7,15,22.44,6,3988
電梯大樓,33.5,10,14.63,1,6500
電梯大樓,7.1,14,37.08,8,6800
電梯大樓,27.1,10,40.25,5,2680
電梯大樓,21.9,12,30.13,7,3880
電梯大樓,35,12,22.88,6,1448
電梯大樓,35,12,23.3,6,1580
電梯大樓,1.7,7,16.65,4,1980
電梯大樓,30.7,9,38.56,8,1850
電梯大樓,5.2,11,31.11,7,2850
電梯大樓,11.5,14,34.24,7,8030
電梯大樓,30.3,12,26.17,7,1980
電梯大樓,3.4,7,27.79,8,2760
公寓,41.5,4,31.38,8,1300
電梯大樓,17,11,54.96,11,6800
電梯大樓,7.4,14,51.33,8,7680
公寓,44.4,4,31.62,6,980
電梯大樓,5.5,7,27.51,7,2588
公寓,47.9,4,26.34,6,1360
電梯大樓,9.7,21,40.03,7,4780
電梯大樓,6.9,7,27.74,7,2366
公寓,38.6,5,30.24,7,1700
電梯大樓,31.9,11,65.15,7,3698
公寓,34.5,4,27.74,8,1380
公寓,28.4,5,41.94,8,2100
電梯大樓,6.9,7,27.74,7,2700
公寓,24.7,5,38.19,8,1880
電梯大樓,2.3,11,7.61,2,950
電梯大樓,40.2,11,58.25,2,12000
公寓,35.5,5,33.88,6,1598
透天厝,33.4,2,35.36,6,2750
電梯大樓,25.6,9,52.33,8,3280
電梯大樓,4.5,11,32.38,7,3250
電梯大樓,21.5,12,11.02,4,998
電梯大樓,6.2,15,33.04,7,3680
公寓,22.9,5,45.43,8,2480
電梯大樓,6.2,15,40.79,7,3750
電梯大樓,7.3,13,57.1,8,5980
電梯大樓,5.3,27,29.38,7,4588
公寓,31.9,5,31.42,6,1750
電梯大樓,5.2,11,26.88,7,2750
公寓,35.9,5,27.19,7,1238
電梯大樓,22.3,13,12.66,3,950
電梯大樓,2.4,26,43.92,8,4800
電梯大樓,5.6,14,19.41,3,2750
電梯大樓,13.5,13,38.25,8,3650
電梯大樓,2.4,26,29.82,7,3380
電梯大樓,6.4,23,36.51,8,4450
電梯大樓,5.8,13,25.65,7,2580
電梯大樓,24.2,5,42.75,7,3200
公寓,37.8,7,16.25,1,3670
電梯大樓,19.2,11,32.11,7,4590
電梯大樓,40.8,7,34.69,7,3750
電梯大樓,31.9,7,36.65,6,3960
電梯大樓,10.6,13,6.45,2,1020
電梯大樓,10,27,62.39,8,17768
電梯大樓,31.9,7,34.69,7,2780
公寓,48,4,46.82,7,6980
電梯大樓,5.1,7,13.28,5,1360
電梯大樓,9.5,14,38.52,7,3080
公寓,34.2,5,29.23,7,1880
電梯大樓,9,12,44.2,8,4500
公寓,39.1,5,35.21,7,2730
電梯大樓,36.9,7,37.82,7,4280
電梯大樓,8.8,14,43.84,8,6150
電梯大樓,3.1,9,13.87,5,2060
電梯大樓,22.4,13,16.71,4,1640
電梯大樓,25.5,10,17.74,2,2650
電梯大樓,7.4,11,35.64,7,4980
公寓,34.5,5,25.72,10,1680
公寓,49.3,2,32.34,8,4388
電梯大樓,29.6,4,86.89,1,4950
電梯大樓,34.3,14,18.78,5,1200
電梯大樓,33,12,18.36,3,1880
電梯大樓,32.1,14,24.81,5,2780
電梯大樓,9,7,7.98,3,1188
電梯大樓,34.6,7,34.19,7,2750
公寓,39.2,5,27.58,6,2480
電梯大樓,8,11,26.03,4,3880
電梯大樓,3.9,14,36.88,8,4468
電梯大樓,40.3,12,16.59,5,1980
公寓,39.7,5,19.72,6,1288
電梯大樓,3,23,52,8,7083
電梯大樓,5.7,15,52.6,9,14960
公寓,40.9,4,25.39,6,1290
電梯大樓,8.8,14,14.93,4,2880
電梯大樓,2.1,7,11.38,4,3377
電梯大樓,28.6,16,30.71,7,3990
電梯大樓,34,7,63.46,8,8100
電梯大樓,38.3,7,29.38,7,3688
電梯大樓,30.3,7,32.42,7,3968
電梯大樓,30.3,12,8.39,3,1180
電梯大樓,8.8,14,6.77,3,1380
電梯大樓,8.8,14,34.43,8,4550
