總坪數,價位（萬）
3.74,755
29.83,3125
11.91,1450
42.76,4900
42.98,3698
29.92,2788
35.82,4550
6.09,850
19.87,4150
24.36,2388
37.93,2580
84.94,14666
30.23,5550
24.18,2680
45,3280
48.12,4680
89.42,12380
5.82,950
36.12,2998
8.65,1750
36.22,4600
35.47,4588
16.42,2680
57.73,3280
21.59,1113
19.75,3800
21.46,2250
24.42,4980
4.61,710
44.41,4680
29.41,1560
27.03,3880
46.3,6388
49.88,6200
41.2,2680
10.96,2380
34.55,2650
53.62,8650
30.48,2390
27.7,1560
45.71,3950
29.94,2880
56.25,4780
6.54,1180
31.7,3380
46.78,4180
36.38,4290
44.24,4788
16.57,1980
28.51,2050
41.77,3490
39,4980
13.72,2100
41.98,5180
33.37,2680
30.83,3680
46.91,11500
72.78,7100
26.01,2880
5.58,750
13.81,1958
162.56,11880
40.78,6500
35.92,1980
38.62,7980
72.52,15760
18.31,2715
37.32,3880
35,3180
118.04,22555
38.92,5980
60.18,7888
63.96,6788
18.44,2300
8.05,1080
24.13,2420
12.98,2200
32.54,4980
8.81,1175
9.2,1225
8.97,1428
103.39,7300
25.32,4768
67.24,18800
29.68,5490
30.72,9999
43.57,3680
7.75,5000
6.62,1380
41.19,3800
14.28,2018
34.54,4690
52.25,9999
24.91,2480
11.64,3458
26.56,3188
27.75,4098
40.03,4780
27.74,2366
30.24,1700
65.15,3698
27.74,1380
41.94,2100
27.74,2700
38.19,1880
7.61,950
58.25,12000
33.88,1598
35.36,2750
52.33,3280
32.38,3250
11.02,998
33.04,3680
45.43,2480
40.79,3750
57.1,5980
29.38,4588
21.1,3900
38.82,8650
18.08,1188
19.06,1350
28.38,2450
51.3,9800
14.33,996
7.61,1180
42.58,2780
20.02,2288
28.7,2200
26.09,1680
12.19,950
20.75,1760
28.28,2700
43.39,1580
42.79,4395
60.07,9998
29.94,2880
35.4,1500
9.25,758
30.26,2680
30.26,2780
34.69,2780
28.21,1468
10.86,1688
46.82,6980
84.24,4988
29.11,1950
39.94,1350
47.36,6000
9.49,1700
24.28,1420
10.31,998
19.34,1950
40.08,3980
18.09,2083
91.55,11800
37.55,1407
26.34,1400
13.01,2250
25.32,2980
56.14,9500
17.26,3500
19.1,1500
4.33,660
13.65,1780
27.85,3100
12.64,1998
25.29,2198
20.51,1350
32.62,4730
22.02,3488
37.22,6888
50.34,5395
40.9,6500
39.86,7880
45.51,6460
38.78,3480
24.27,1456
26.79,3590
7.07,1450
19.34,1950
40.08,3980
34.45,3280
26.34,1400
39.49,2580
30.39,1080
28.93,3480
30.27,4980
32.27,2280
32.94,1480
36.48,1130
43.76,3566
15.51,3000
34.89,2230
22.25,2188
16.54,3980
42.16,3980
34.54,4600
17.66,1280
42.99,5920
40.75,5480
35.67,4380
32.84,1298
26.51,1680
18.61,1698
31.1,1520
40,3980
19.21,1580
29.08,1480
25.12,3480
16.18,1580
29.82,1780
19.52,1650
38.36,3150
24.94,2980
15.11,1800
35.49,5135
22.87,1880
52.41,6605
25.42,2300
33.2,4880
35.76,1980
23.91,3380
35.34,2580
12.5,2580
26.78,1770
38.95,5950
25.12,2088
70.24,3980
7.14,1180
32.93,2800
15.12,1600
29.62,1580
25.1,1280
33.62,2050
9.03,2300
42.98,7856
38.63,1988
42.47,4780
47.78,11580
5.96,1230
50.55,12498
22.09,2300
42.91,5788
28.35,6980
45.04,7780
32.23,6180
30.75,3788
21.78,1968
43.31,3950
8.2,1038
13.79,2488
36.5,2250
29.45,3999
32.65,2680
25.2,3780
54.12,5960
25.81,2300
14.22,1880
11.6,975
23.85,4680
28.83,1680
14.5,1680
64.24,13880
16.48,3480
11.05,1980
10.9,2200
27.38,1820
32.65,1360
28.12,2580
13.43,2580
9.61,2350
14.44,2080
47.46,3980
33.76,2980
10.97,830
25.08,2188
23.9,6388
16.06,4380
32.03,5850
44.22,3980
12.05,1580
27.76,1180
33.86,4880
23.85,2025
11.53,1628
28.13,1498
28.3,3960
35.59,3580
20.14,1780
41.87,8750
36.48,2000
23.21,2393
25.97,2188
15.31,1998
74.46,4050
10.17,1999
33.4,3380
23.3,1638
18.37,2188
27.73,2500
27.34,4450
36.81,4688
29.45,1550
6.33,1250
5.85,1286
15.87,2580
25.28,1968
24.49,4288
26.57,2480
58.81,16000
17.45,1888
48.03,4200
9.48,1270
40.96,4650
10.59,1420
26.36,4150
27.13,1880
10.45,1580
8.68,1198
14.78,1768
13.7,3480
10.07,798
32.72,2668
17.98,1960
29.11,1680
14.48,1080
11.28,1199
27.98,3588
8.35,1298
38.94,4800
42.1,6280
18.29,1880
34.07,6654
14.16,1660
10.3,1380
37.11,5200
49.09,11688
21.05,3600
58.01,11170
22.2,2080
33.98,5388
22.66,998
25.49,1480
42.8,4550
75.78,14800
16.8,1150
21.1,3900
38.82,8650
18.08,1188
19.06,1350
28.38,2450
51.3,9800
14.33,996
7.61,1180
42.58,2780
20.02,2288
28.7,2200
23.6,2950
28.63,2580
18,1388
28.12,898
32.91,3800
31.17,1980
9.15,1138
32.63,2880
39.46,3688
35.77,6900
43.79,5600
